,county,state,Land Area (mi^2)
713,Adams,Indiana,339.03
714,Allen,Indiana,657.31
715,Bartholomew,Indiana,406.91
716,Benton,Indiana,406.42
717,Blackford,Indiana,165.08
718,Boone,Indiana,422.91
719,Brown,Indiana,311.98
720,Carroll,Indiana,372.22
721,Cass,Indiana,412.16
722,Clark,Indiana,372.86
723,Clay,Indiana,357.54
724,Clinton,Indiana,405.07
725,Crawford,Indiana,305.64
726,Daviess,Indiana,429.49
727,Dearborn,Indiana,305.03
728,Decatur,Indiana,372.57
729,DeKalb,Indiana,362.82
730,Delaware,Indiana,392.12
731,Dubois,Indiana,427.27
732,Elkhart,Indiana,463.17
733,Fayette,Indiana,215.01
734,Floyd,Indiana,147.94
735,Fountain,Indiana,395.66
736,Franklin,Indiana,384.43
737,Fulton,Indiana,368.39
738,Gibson,Indiana,487.49
739,Grant,Indiana,414.07
740,Greene,Indiana,542.5
741,Hamilton,Indiana,394.27
742,Hancock,Indiana,306.02
743,Harrison,Indiana,484.52
744,Hendricks,Indiana,406.91
745,Henry,Indiana,391.88
746,Howard,Indiana,293.06
747,Huntington,Indiana,382.65
748,Jackson,Indiana,509.31
749,Jasper,Indiana,559.63
750,Jay,Indiana,383.91
751,Jefferson,Indiana,360.63
752,Jennings,Indiana,376.58
753,Johnson,Indiana,320.43
754,Knox,Indiana,516.03
755,Kosciusko,Indiana,531.38
756,LaGrange,Indiana,379.62
757,Lake,Indiana,498.96
758,LaPorte,Indiana,598.3
759,Lawrence,Indiana,449.17
760,Madison,Indiana,451.92
761,Marion,Indiana,396.3
762,Marshall,Indiana,443.63
763,Martin,Indiana,335.74
764,Miami,Indiana,373.84
765,Monroe,Indiana,394.51
766,Montgomery,Indiana,504.61
767,Morgan,Indiana,403.97
768,Newton,Indiana,401.76
769,Noble,Indiana,410.84
770,Ohio,Indiana,86.14
771,Orange,Indiana,398.39
772,Owen,Indiana,385.29
773,Parke,Indiana,444.66
774,Perry,Indiana,381.73
775,Pike,Indiana,334.24
776,Porter,Indiana,418.15
777,Posey,Indiana,409.57
778,Pulaski,Indiana,433.65
779,Putnam,Indiana,480.53
780,Randolph,Indiana,452.38
781,Ripley,Indiana,446.43
782,Rush,Indiana,408.12
783,St. Joseph,Indiana,457.85
784,Scott,Indiana,190.4
785,Shelby,Indiana,411.15
786,Spencer,Indiana,396.74
787,Starke,Indiana,309.13
788,Steuben,Indiana,308.94
789,Sullivan,Indiana,447.14
790,Switzerland,Indiana,220.63
791,Tippecanoe,Indiana,499.81
792,Tipton,Indiana,260.54
793,Union,Indiana,161.22
794,Vanderburgh,Indiana,233.48
795,Vermillion,Indiana,256.88
796,Vigo,Indiana,403.31
797,Wabash,Indiana,412.43
798,Warren,Indiana,364.68
799,Warrick,Indiana,384.82
800,Washington,Indiana,513.73
801,Wayne,Indiana,401.74
802,Wells,Indiana,368.09
803,White,Indiana,505.13
804,Whitley,Indiana,335.57
805,IOWA,,55857.13
806,Adair,Iowa,569.27
807,Adams,Iowa,423.44
808,Allamakee,Iowa,639.08
809,Appanoose,Iowa,497.29
810,Audubon,Iowa,442.96
811,Benton,Iowa,716.27
812,Black Hawk,Iowa,565.77
813,Boone,Iowa,571.57
814,Bremer,Iowa,435.48
815,Buchanan,Iowa,571.02
816,Buena Vista,Iowa,574.92
817,Butler,Iowa,580.13
818,Calhoun,Iowa,569.97
819,Carroll,Iowa,569.44
820,Cass,Iowa,564.27
821,Cedar,Iowa,579.44
822,Cerro Gordo,Iowa,568.31
823,Cherokee,Iowa,576.91
824,Chickasaw,Iowa,504.38
825,Clarke,Iowa,431.17
826,Clay,Iowa,567.24
827,Clayton,Iowa,778.54
